id,target_people
train0001.jpg,0
train0002.jpg,0
train0003.jpg,1
train0004.jpg,0
train0005.jpg,0
train0006.jpg,0
train0007.jpg,1
train0008.jpg,1
train0009.jpg,1
train0010.jpg,0
train0011.jpg,0
train0012.jpg,0
train0013.jpg,0
train0014.jpg,0
train0015.jpg,1
train0016.jpg,0
train0017.jpg,0
train0018.jpg,1
train0019.jpg,1
train0020.jpg,1
train0021.jpg,0
train0022.jpg,0
train0023.jpg,0
train0024.jpg,0
train0025.jpg,1
train0026.jpg,0
train0027.jpg,1
train0028.jpg,1
train0029.jpg,0
train0030.jpg,0
train0031.jpg,0
train0032.jpg,1
train0033.jpg,0
train0034.jpg,0
train0035.jpg,0
train0036.jpg,0
train0037.jpg,0
train0038.jpg,0
train0039.jpg,1
train0040.jpg,0
train0041.jpg,0
train0042.jpg,0
train0043.jpg,0
train0044.jpg,0
train0045.jpg,0
train0046.jpg,1
train0047.jpg,0
train0048.jpg,0
train0049.jpg,0
train0050.jpg,0
train0051.jpg,0
train0052.jpg,0
train0053.jpg,0
train0054.jpg,1
train0055.jpg,0
train0056.jpg,0
train0057.jpg,0
train0058.jpg,1
train0059.jpg,0
train0060.jpg,0
train0061.jpg,0
train0062.jpg,0
train0063.jpg,0
train0064.jpg,0
train0065.jpg,0
train0066.jpg,1
train0067.jpg,0
train0068.jpg,0
train0069.jpg,0
train0070.jpg,1
train0071.jpg,0
train0072.jpg,0
train0073.jpg,0
train0074.jpg,0
train0075.jpg,0
train0076.jpg,0
train0077.jpg,0
train0078.jpg,1
train0079.jpg,0
train0080.jpg,0
train0081.jpg,0
train0082.jpg,0
train0083.jpg,0
train0084.jpg,1
train0085.jpg,0
train0086.jpg,0
train0087.jpg,1
train0088.jpg,0
train0089.jpg,0
train0090.jpg,0
train0091.jpg,1
train0092.jpg,0
train0093.jpg,1
train0094.jpg,0
train0095.jpg,1
train0096.jpg,0
train0097.jpg,0
train0098.jpg,0
train0099.jpg,0
train0100.jpg,0
train0101.jpg,0
train0102.jpg,0
train0103.jpg,1
train0104.jpg,0
train0105.jpg,0
train0106.jpg,0
train0107.jpg,1
train0108.jpg,0
train0109.jpg,1
train0110.jpg,0
train0111.jpg,0
train0112.jpg,0
train0113.jpg,0
train0114.jpg,0
train0115.jpg,0
train0116.jpg,1
train0117.jpg,0
train0118.jpg,0
train0119.jpg,0
train0120.jpg,1
train0121.jpg,1
train0122.jpg,0
train0123.jpg,0
train0124.jpg,0
train0125.jpg,0
train0126.jpg,0
train0127.jpg,0
train0128.jpg,0
train0129.jpg,0
train0130.jpg,0
train0131.jpg,1
train0132.jpg,0
train0133.jpg,1
train0134.jpg,0
train0135.jpg,0
train0136.jpg,1
train0137.jpg,1
train0138.jpg,1
train0139.jpg,0
train0140.jpg,1
train0141.jpg,0
train0142.jpg,0
train0143.jpg,1
train0144.jpg,0
train0145.jpg,0
train0146.jpg,0
train0147.jpg,1
train0148.jpg,1
train0149.jpg,0
train0150.jpg,1
train0151.jpg,0
train0152.jpg,1
train0153.jpg,0
train0154.jpg,0
train0155.jpg,0
train0156.jpg,1
train0157.jpg,0
train0158.jpg,0
train0159.jpg,0
train0160.jpg,0
train0161.jpg,0
train0162.jpg,0
train0163.jpg,1
train0164.jpg,0
train0165.jpg,0
train0166.jpg,0
train0167.jpg,0
train0168.jpg,1
train0169.jpg,1
train0170.jpg,0
train0171.jpg,0
train0172.jpg,0
train0173.jpg,1
train0174.jpg,1
train0175.jpg,1
train0176.jpg,0
train0177.jpg,1
train0178.jpg,1
train0179.jpg,0
train0180.jpg,0
train0181.jpg,0
train0182.jpg,0
train0183.jpg,0
train0184.jpg,0
train0185.jpg,0
train0186.jpg,1
train0187.jpg,0
train0188.jpg,0
train0189.jpg,0
train0190.jpg,1
train0191.jpg,1
train0192.jpg,0
train0193.jpg,0
train0194.jpg,0
train0195.jpg,0
train0196.jpg,1
train0197.jpg,0
train0198.jpg,1
train0199.jpg,0
train0200.jpg,0
train0201.jpg,1
train0202.jpg,1
train0203.jpg,0
train0204.jpg,0
train0205.jpg,1
train0206.jpg,1
train0207.jpg,0
train0208.jpg,0
train0209.jpg,0
train0210.jpg,0
train0211.jpg,1
train0212.jpg,0
train0213.jpg,0
train0214.jpg,0
train0215.jpg,0
train0216.jpg,0
train0217.jpg,0
train0218.jpg,0
train0219.jpg,1
train0220.jpg,0
train0221.jpg,0
train0222.jpg,1
train0223.jpg,0
train0224.jpg,0
train0225.jpg,0
train0226.jpg,1
train0227.jpg,1
train0228.jpg,0
train0229.jpg,0
train0230.jpg,0
train0231.jpg,0
train0232.jpg,0
train0233.jpg,0
train0234.jpg,1
train0235.jpg,0
train0236.jpg,1
train0237.jpg,0
train0238.jpg,0
train0239.jpg,0
train0240.jpg,0
train0241.jpg,0
train0242.jpg,0
train0243.jpg,0
train0244.jpg,1
train0245.jpg,0
